"Status";"Amount";"Customer";"Pipeline status";"Status";"Creation date";"Closing date";"Product";"Country";"Sales person";"Prob"
"RED";"11,505.619";"Company 2";"EARLY";"WIN";"03/06/2012 04:48:23";"10/09/2012 04:48:23";"PRODUCT 2";"United Kingdom";"Kathrine Janas";"17.28"
"GREY";"12,374.854";"Company 3";"STANDBY";"SHORT LISTED";"05/06/2012 01:24:23";"17/10/2012 01:24:23";"PRODUCT 7";"Spain";"Roxie Foraker";"38.629"
"RED";"9,676.984";"Company 3";"EARLY";"WIN";"23/06/2012 09:04:23";"05/10/2012 09:04:23";"PRODUCT 5";"France";"Darryl Innes";"17.514"
"GREEN";"10,162.373";"Company 3";"ADVANCED";"QUALIFIED";"22/06/2012 14:15:23";"03/10/2012 14:15:23";"PRODUCT 7";"Belgium";"Nita Marling";"96.076"
"RED";"11,496.693";"Company 6";"STANDBY";"DEMO";"02/06/2012 01:42:23";"17/09/2012 01:42:23";"PRODUCT 8";"Japan";"Nita Marling";"15.443"
"RED";"8,130.836";"Company 3";"ADVANCED";"CONTACTED";"03/06/2012 00:04:23";"30/09/2012 00:04:23";"PRODUCT 8";"Turkey";"Jamie Gilbeau";"7.314"
"YELLOW";"12,991.33";"Company 9";"STANDBY";"CONTACTED";"07/06/2012 22:04:23";"07/09/2012 22:04:23";"PRODUCT 1";"France";"Jamie Gilbeau";"61.228"
"YELLOW";"9,596.706";"Company 2";"EARLY";"CONTACTED";"12/06/2012 11:52:23";"20/09/2012 11:52:23";"PRODUCT 5";"Russia";"Julio Burdge";"64.793"
"GREY";"9,955.31";"Company 9";"STANDBY";"STANDBY";"18/06/2012 06:54:23";"30/09/2012 06:54:23";"PRODUCT 10";"Saudi Arabia";"Nita Marling";"39.128"
"RED";"10,350.009";"Company 8";"ADVANCED";"WIN";"02/06/2012 18:02:23";"05/10/2012 18:02:23";"PRODUCT 8";"Brazil";"Julio Burdge";"16.803"
"GREY";"9,865.271";"Company 6";"STANDBY";"QUALIFIED";"23/06/2012 05:46:23";"21/09/2012 05:46:23";"PRODUCT 7";"France";"Darryl Innes";"34.52"
"GREY";"13,262.087";"Company 2";"EARLY";"QUALIFIED";"04/06/2012 09:15:23";"26/09/2012 09:15:23";"PRODUCT 8";"Norway";"Jerri Preble";"37.817"
"RED";"11,556.193";"Company 9";"ADVANCED";"WIN";"03/06/2012 13:06:23";"03/09/2012 13:06:23";"PRODUCT 6";"Poland";"Jerri Preble";"20.058"
"GREY";"12,405.079";"Company 6";"STANDBY";"LOST";"11/06/2012 12:23:23";"18/09/2012 12:23:23";"PRODUCT 2";"Spain";"Neva Hunger";"42.966"
"RED";"12,159.234";"Company 2";"STANDBY";"WIN";"10/06/2012 12:30:23";"28/09/2012 12:30:23";"PRODUCT 5";"Mexico";"Roxie Foraker";"10.977"
"GREEN";"13,183.113";"Company 1";"EARLY";"LOST";"10/06/2012 07:34:23";"20/10/2012 07:34:23";"PRODUCT 3";"Sweden";"Julio Burdge";"96.666"
"GREY";"9,801.283";"Company 3";"STANDBY";"WIN";"14/06/2012 21:24:23";"29/09/2012 21:24:23";"PRODUCT 4";"Netherlands";"Kathrine Janas";"39.531"
"YELLOW";"14,975.222";"Company 3";"STANDBY";"LOST";"21/06/2012 15:55:23";"15/10/2012 15:55:23";"PRODUCT 2";"Indonesia";"Darryl Innes";"65.375"
"GREEN";"12,566.236";"Company 3";"EARLY";"LOST";"22/06/2012 21:34:23";"22/10/2012 21:34:23";"PRODUCT 1";"Brazil";"Kathrine Janas";"98.577"
"YELLOW";"8,789.973";"Company 3";"EARLY";"CONTACTED";"25/06/2012 07:15:23";"28/10/2012 07:15:23";"PRODUCT 5";"Germany";"Kathrine Janas";"64.497"
"RED";"8,217.986";"Company 7";"STANDBY";"STANDBY";"07/06/2012 07:56:23";"08/10/2012 07:56:23";"PRODUCT 7";"France";"Darryl Innes";"4.297"
"GREY";"14,431.825";"Company 6";"ADVANCED";"STANDBY";"10/06/2012 20:25:23";"20/09/2012 20:25:23";"PRODUCT 7";"Italy";"Neva Hunger";"49.428"
"GREY";"10,185.131";"Company 2";"EARLY";"LOST";"11/06/2012 15:39:23";"20/09/2012 15:39:23";"PRODUCT 3";"Italy";"Jerri Preble";"28.063"
"RED";"13,679.189";"Company 7";"EARLY";"STANDBY";"14/07/2012 08:46:23";"18/10/2012 08:46:23";"PRODUCT 3";"China";"Nita Marling";"0.733"
"GREY";"8,307.411";"Company 8";"ADVANCED";"DEMO";"06/07/2012 01:55:23";"04/10/2012 01:55:23";"PRODUCT 6";"Canada";"Darryl Innes";"47.437"
"YELLOW";"13,974.228";"Company 9";"EARLY";"STANDBY";"07/07/2012 17:06:23";"17/10/2012 17:06:23";"PRODUCT 7";"Sweden";"Julio Burdge";"53.48"
"YELLOW";"9,843.848";"Company 9";"EARLY";"SHORT LISTED";"26/07/2012 01:20:23";"16/11/2012 01:20:23";"PRODUCT 7";"United States";"Julio Burdge";"66.322"
"RED";"8,124.355";"Company 2";"STANDBY";"WIN";"21/07/2012 02:00:23";"23/11/2012 02:00:23";"PRODUCT 11";"Norway";"Kathrine Janas";"20.695"
"YELLOW";"13,242.617";"Company 9";"EARLY";"SHORT LISTED";"22/07/2012 04:09:23";"30/11/2012 04:09:23";"PRODUCT 6";"Brazil";"Jerri Preble";"54.242"
"YELLOW";"8,515.467";"Company 1";"STANDBY";"LOST";"11/07/2012 00:37:23";"04/11/2012 00:37:23";"PRODUCT 4";"Germany";"Darryl Innes";"60.973"
"YELLOW";"9,172.633";"Company 8";"EARLY";"CONTACTED";"11/07/2012 21:59:23";"01/11/2012 21:59:23";"PRODUCT 3";"Indonesia";"Roxie Foraker";"54.769"
"GREY";"12,336.884";"Company 9";"STANDBY";"LOST";"05/07/2012 06:49:23";"09/11/2012 06:49:23";"PRODUCT 5";"Mexico";"Neva Hunger";"40.226"
"RED";"12,316.852";"Company 7";"EARLY";"LOST";"23/07/2012 09:58:23";"06/11/2012 09:58:23";"PRODUCT 3";"Poland";"Julio Burdge";"13.091"
"GREY";"13,318.016";"Company 7";"STANDBY";"QUALIFIED";"12/07/2012 00:11:23";"12/11/2012 00:11:23";"PRODUCT 1";"Indonesia";"Roxie Foraker";"37.564"
"YELLOW";"8,427.296";"Company 5";"STANDBY";"QUALIFIED";"06/07/2012 11:05:23";"17/10/2012 11:05:23";"PRODUCT 11";"Russia";"Nita Marling";"72.719"
"GREY";"14,476.746";"Company 4";"ADVANCED";"DEMO";"23/07/2012 10:32:23";"28/10/2012 10:32:23";"PRODUCT 7";"Spain";"Darryl Innes";"45.327"
"GREEN";"9,141.795";"Company 2";"STANDBY";"DEMO";"07/07/2012 06:33:23";"14/10/2012 06:33:23";"PRODUCT 10";"Indonesia";"Darryl Innes";"91.331"
"RED";"10,379.528";"Company 9";"EARLY";"VERBAL COMMITMENT";"19/07/2012 09:28:23";"09/11/2012 09:28:23";"PRODUCT 6";"Italy";"Roxie Foraker";"13.251"
"GREY";"8,062.447";"Company 1";"EARLY";"VERBAL COMMITMENT";"14/07/2012 01:29:23";"16/11/2012 01:29:23";"PRODUCT 8";"Germany";"Jerri Preble";"25.769"
"GREEN";"12,413.212";"Company 9";"ADVANCED";"QUALIFIED";"15/07/2012 23:14:23";"05/11/2012 23:14:23";"PRODUCT 10";"China";"Neva Hunger";"86.779"
"GREY";"9,595.799";"Company 4";"EARLY";"DEMO";"03/07/2012 21:58:23";"14/10/2012 21:58:23";"PRODUCT 10";"Brazil";"Neva Hunger";"36.157"
"GREEN";"8,568.578";"Company 3";"STANDBY";"DEMO";"23/07/2012 19:39:23";"27/10/2012 19:39:23";"PRODUCT 8";"Saudi Arabia";"Roxie Foraker";"89.508"
"YELLOW";"8,054.744";"Company 1";"EARLY";"SHORT LISTED";"20/07/2012 16:36:23";"01/12/2012 16:36:23";"PRODUCT 3";"Mexico";"Nita Marling";"59.179"
"GREEN";"8,235.598";"Company 8";"STANDBY";"CONTACTED";"16/07/2012 22:39:23";"10/11/2012 22:39:23";"PRODUCT 6";"Turkey";"Kathrine Janas";"99.779"
"RED";"11,522.135";"Company 9";"EARLY";"VERBAL COMMITMENT";"14/07/2012 13:19:23";"07/11/2012 13:19:23";"PRODUCT 8";"Australia";"Nita Marling";"0.486"
"YELLOW";"14,510.407";"Company 8";"ADVANCED";"WIN";"25/07/2012 14:17:23";"10/11/2012 14:17:23";"PRODUCT 6";"Australia";"Julio Burdge";"71.408"
"GREEN";"8,976.128";"Company 1";"ADVANCED";"VERBAL COMMITMENT";"03/07/2012 17:10:23";"12/10/2012 17:10:23";"PRODUCT 2";"Saudi Arabia";"Nita Marling";"96.248"
"GREY";"11,514.003";"Company 3";"ADVANCED";"VERBAL COMMITMENT";"06/07/2012 06:22:23";"25/10/2012 06:22:23";"PRODUCT 2";"Norway";"Jamie Gilbeau";"48.56"
"GREEN";"10,177.23";"Company 6";"STANDBY";"STANDBY";"22/07/2012 22:41:23";"21/11/2012 22:41:23";"PRODUCT 7";"Canada";"Jerri Preble";"93.843"
"RED";"12,222.66";"Company 7";"ADVANCED";"WIN";"12/07/2012 18:50:23";"23/10/2012 18:50:23";"PRODUCT 11";"Spain";"Kathrine Janas";"24.755"
"RED";"14,817.075";"Company 7";"EARLY";"LOST";"16/07/2012 10:18:23";"25/11/2012 10:18:23";"PRODUCT 11";"Turkey";"Jamie Gilbeau";"1.694"
"GREEN";"9,310.057";"Company 8";"STANDBY";"CONTACTED";"23/07/2012 07:20:23";"31/10/2012 07:20:23";"PRODUCT 5";"Sweden";"Nita Marling";"96.028"
"YELLOW";"12,428.913";"Company 6";"STANDBY";"STANDBY";"24/07/2012 00:47:23";"23/11/2012 00:47:23";"PRODUCT 1";"Netherlands";"Jamie Gilbeau";"58.235"
"YELLOW";"14,501.132";"Company 4";"ADVANCED";"STANDBY";"06/08/2012 08:25:23";"09/12/2012 08:25:23";"PRODUCT 6";"Japan";"Jerri Preble";"58.214"
"YELLOW";"9,559.828";"Company 6";"EARLY";"LOST";"06/08/2012 05:01:23";"11/11/2012 05:01:23";"PRODUCT 6";"Russia";"Roxie Foraker";"70.032"
"GREEN";"14,937.655";"Company 7";"EARLY";"WIN";"21/08/2012 09:21:23";"01/01/2013 09:21:23";"PRODUCT 6";"Australia";"Roxie Foraker";"98.387"
"YELLOW";"10,704.657";"Company 4";"ADVANCED";"DEMO";"03/08/2012 04:51:23";"12/12/2012 04:51:23";"PRODUCT 1";"Mexico";"Jamie Gilbeau";"69.031"
"GREY";"11,055.51";"Company 4";"EARLY";"LOST";"08/08/2012 14:39:23";"12/12/2012 14:39:23";"PRODUCT 2";"China";"Neva Hunger";"30.435"
"GREY";"12,501.646";"Company 2";"EARLY";"QUALIFIED";"27/08/2012 09:42:23";"28/11/2012 09:42:23";"PRODUCT 4";"France";"Jerri Preble";"38.955"
"RED";"13,473.708";"Company 4";"STANDBY";"SHORT LISTED";"12/08/2012 12:44:23";"17/12/2012 12:44:23";"PRODUCT 6";"Poland";"Jerri Preble";"24.769"
"YELLOW";"14,689.816";"Company 2";"STANDBY";"WIN";"24/08/2012 08:38:23";"03/12/2012 08:38:23";"PRODUCT 5";"Spain";"Jamie Gilbeau";"60.84"
"GREEN";"9,395.111";"Company 6";"ADVANCED";"CONTACTED";"09/08/2012 22:23:23";"06/12/2012 22:23:23";"PRODUCT 10";"India";"Darryl Innes";"82.186"
"GREY";"9,328.045";"Company 2";"ADVANCED";"STANDBY";"20/08/2012 22:02:23";"19/11/2012 22:02:23";"PRODUCT 3";"Saudi Arabia";"Darryl Innes";"27.71"
"RED";"14,018.879";"Company 5";"ADVANCED";"VERBAL COMMITMENT";"06/08/2012 00:41:23";"30/11/2012 00:41:23";"PRODUCT 4";"Switzerland";"Kathrine Janas";"1.862"
"GREEN";"14,775.875";"Company 4";"ADVANCED";"LOST";"07/08/2012 06:39:23";"06/12/2012 06:39:23";"PRODUCT 1";"Indonesia";"Nita Marling";"78.394"
"GREEN";"14,464.631";"Company 9";"EARLY";"CONTACTED";"03/08/2012 15:38:23";"20/11/2012 15:38:23";"PRODUCT 1";"Norway";"Darryl Innes";"93.484"
"RED";"10,936.037";"Company 5";"EARLY";"STANDBY";"04/08/2012 20:49:23";"15/11/2012 20:49:23";"PRODUCT 6";"India";"Roxie Foraker";"0.48"
"GREEN";"12,708.328";"Company 9";"ADVANCED";"DEMO";"09/08/2012 14:46:23";"13/11/2012 14:46:23";"PRODUCT 11";"Russia";"Roxie Foraker";"83.538"
"YELLOW";"10,258.688";"Company 2";"EARLY";"STANDBY";"15/08/2012 12:39:23";"14/11/2012 12:39:23";"PRODUCT 2";"Norway";"Kathrine Janas";"52.42"
"YELLOW";"10,029.879";"Company 3";"ADVANCED";"CONTACTED";"23/08/2012 01:28:23";"29/12/2012 01:28:23";"PRODUCT 5";"Brazil";"Nita Marling";"65.718"
"YELLOW";"9,007.376";"Company 6";"ADVANCED";"SHORT LISTED";"25/08/2012 19:18:23";"03/01/2013 19:18:23";"PRODUCT 8";"Germany";"Jamie Gilbeau";"54.761"
"GREY";"13,472.454";"Company 3";"ADVANCED";"QUALIFIED";"01/08/2012 20:21:23";"24/11/2012 20:21:23";"PRODUCT 7";"China";"Kathrine Janas";"45.487"
"RED";"11,286.718";"Company 5";"STANDBY";"WIN";"21/08/2012 04:02:23";"24/12/2012 04:02:23";"PRODUCT 2";"Saudi Arabia";"Julio Burdge";"0.527"
"GREY";"11,813.528";"Company 5";"STANDBY";"CONTACTED";"08/08/2012 12:16:23";"20/11/2012 12:16:23";"PRODUCT 10";"South Korea";"Roxie Foraker";"28.78"
"GREY";"10,331.798";"Company 4";"STANDBY";"WIN";"20/08/2012 19:22:23";"19/12/2012 19:22:23";"PRODUCT 10";"Mexico";"Roxie Foraker";"34.739"
"RED";"8,547.635";"Company 7";"STANDBY";"VERBAL COMMITMENT";"19/08/2012 20:23:23";"24/11/2012 20:23:23";"PRODUCT 7";"China";"Neva Hunger";"4.839"
"YELLOW";"14,559.284";"Company 3";"EARLY";"VERBAL COMMITMENT";"13/08/2012 05:07:23";"02/12/2012 05:07:23";"PRODUCT 8";"Australia";"Jerri Preble";"53.077"
"YELLOW";"10,380.849";"Company 6";"EARLY";"STANDBY";"15/08/2012 00:51:23";"23/11/2012 00:51:23";"PRODUCT 7";"Mexico";"Neva Hunger";"73.197"
"YELLOW";"9,880.264";"Company 8";"ADVANCED";"WIN";"16/08/2012 21:53:23";"17/12/2012 21:53:23";"PRODUCT 4";"United States";"Darryl Innes";"69.676"
"YELLOW";"9,736.974";"Company 3";"EARLY";"CONTACTED";"11/08/2012 05:15:23";"22/12/2012 05:15:23";"PRODUCT 10";"United States";"Julio Burdge";"64.797"
"RED";"8,774.8";"Company 9";"EARLY";"CONTACTED";"02/08/2012 15:07:23";"03/11/2012 15:07:23";"PRODUCT 4";"Spain";"Julio Burdge";"4.07"
"RED";"13,775.46";"Company 1";"ADVANCED";"STANDBY";"19/08/2012 05:29:23";"04/12/2012 05:29:23";"PRODUCT 3";"Sweden";"Jerri Preble";"7.257"
"GREY";"14,628.203";"Company 5";"ADVANCED";"SHORT LISTED";"18/08/2012 08:10:23";"23/12/2012 08:10:23";"PRODUCT 11";"Japan";"Julio Burdge";"37.278"
"GREEN";"11,421.037";"Company 3";"ADVANCED";"SHORT LISTED";"04/09/2012 14:22:23";"19/12/2012 14:22:23";"PRODUCT 2";"United States";"Julio Burdge";"84.266"
"GREEN";"9,829.02";"Company 1";"STANDBY";"CONTACTED";"13/09/2012 10:58:23";"16/01/2013 10:58:23";"PRODUCT 8";"Switzerland";"Julio Burdge";"87.02"
"GREY";"14,905.064";"Company 5";"EARLY";"SHORT LISTED";"26/09/2012 04:33:23";"07/02/2013 04:33:23";"PRODUCT 2";"Mexico";"Kathrine Janas";"39.137"
"YELLOW";"13,128.75";"Company 7";"ADVANCED";"STANDBY";"02/09/2012 11:30:23";"24/12/2012 11:30:23";"PRODUCT 8";"Sweden";"Neva Hunger";"52.085"
"YELLOW";"11,318.599";"Company 5";"EARLY";"CONTACTED";"11/09/2012 09:27:23";"10/12/2012 09:27:23";"PRODUCT 5";"Turkey";"Julio Burdge";"72.481"
"GREEN";"13,763.274";"Company 2";"EARLY";"STANDBY";"09/09/2012 15:23:23";"18/01/2013 15:23:23";"PRODUCT 8";"China";"Julio Burdge";"75.834"
"GREEN";"9,677.191";"Company 2";"STANDBY";"SHORT LISTED";"09/09/2012 19:44:23";"29/12/2012 19:44:23";"PRODUCT 8";"United Kingdom";"Nita Marling";"84.036"
"GREEN";"9,835.996";"Company 9";"STANDBY";"SHORT LISTED";"11/09/2012 16:21:23";"12/12/2012 16:21:23";"PRODUCT 1";"United States";"Roxie Foraker";"78.844"
"RED";"11,997.384";"Company 9";"ADVANCED";"VERBAL COMMITMENT";"04/09/2012 22:47:23";"05/12/2012 22:47:23";"PRODUCT 4";"India";"Darryl Innes";"8.634"
"RED";"14,462.719";"Company 4";"ADVANCED";"STANDBY";"15/09/2012 12:59:23";"25/12/2012 12:59:23";"PRODUCT 3";"Turkey";"Roxie Foraker";"10.692"
"GREEN";"9,884.944";"Company 4";"EARLY";"CONTACTED";"27/09/2012 12:53:23";"07/02/2013 12:53:23";"PRODUCT 1";"Mexico";"Darryl Innes";"96.3"
"YELLOW";"12,178.222";"Company 4";"STANDBY";"QUALIFIED";"22/09/2012 06:22:23";"23/01/2013 06:22:23";"PRODUCT 11";"Germany";"Julio Burdge";"70.885"
"GREEN";"10,134.806";"Company 3";"EARLY";"QUALIFIED";"10/09/2012 03:22:23";"28/12/2012 03:22:23";"PRODUCT 5";"Turkey";"Nita Marling";"86.506"
"GREY";"9,104.574";"Company 3";"STANDBY";"LOST";"15/09/2012 11:13:24";"30/12/2012 11:13:24";"PRODUCT 1";"Italy";"Jerri Preble";"48.924"
"GREY";"8,842.736";"Company 6";"ADVANCED";"SHORT LISTED";"26/09/2012 14:33:24";"24/01/2013 14:33:24";"PRODUCT 7";"Sweden";"Julio Burdge";"26.551"
"GREY";"12,381.147";"Company 3";"EARLY";"VERBAL COMMITMENT";"02/09/2012 13:41:24";"01/01/2013 13:41:24";"PRODUCT 8";"Netherlands";"Nita Marling";"33.51"
"GREEN";"8,528.714";"Company 6";"ADVANCED";"STANDBY";"22/09/2012 09:55:24";"18/01/2013 09:55:24";"PRODUCT 11";"United States";"Jamie Gilbeau";"84.095"
"GREY";"12,356.366";"Company 3";"EARLY";"CONTACTED";"24/09/2012 02:06:24";"15/01/2013 02:06:24";"PRODUCT 8";"Brazil";"Roxie Foraker";"40.892"
"RED";"11,772.037";"Company 8";"EARLY";"QUALIFIED";"11/09/2012 17:20:24";"18/01/2013 17:20:24";"PRODUCT 2";"United Kingdom";"Roxie Foraker";"3.82"
"RED";"13,041.165";"Company 7";"STANDBY";"CONTACTED";"24/09/2012 14:20:24";"16/01/2013 14:20:24";"PRODUCT 8";"Russia";"Jerri Preble";"12.359"
"YELLOW";"8,858.135";"Company 3";"ADVANCED";"LOST";"08/09/2012 01:39:24";"02/01/2013 01:39:24";"PRODUCT 2";"Canada";"Kathrine Janas";"58.244"
"GREY";"9,324.17";"Company 2";"ADVANCED";"WIN";"11/09/2012 11:42:24";"31/12/2012 11:42:24";"PRODUCT 11";"Saudi Arabia";"Darryl Innes";"30.866"
"GREY";"11,937.114";"Company 3";"ADVANCED";"CONTACTED";"13/09/2012 05:45:24";"12/01/2013 05:45:24";"PRODUCT 4";"Brazil";"Neva Hunger";"42.67"
"RED";"12,448.593";"Company 3";"STANDBY";"LOST";"20/09/2012 15:05:24";"11/01/2013 15:05:24";"PRODUCT 5";"Saudi Arabia";"Darryl Innes";"6.801"
"YELLOW";"13,194.011";"Company 3";"EARLY";"VERBAL COMMITMENT";"15/09/2012 01:02:24";"20/01/2013 01:02:24";"PRODUCT 5";"Canada";"Julio Burdge";"64.271"
"GREEN";"8,250.854";"Company 3";"EARLY";"VERBAL COMMITMENT";"31/08/2012 21:36:24";"07/01/2013 21:36:24";"PRODUCT 11";"United Kingdom";"Jamie Gilbeau";"82.903"
"GREEN";"10,530.772";"Company 5";"EARLY";"VERBAL COMMITMENT";"21/09/2012 10:53:24";"17/01/2013 10:53:24";"PRODUCT 10";"Brazil";"Roxie Foraker";"75.329"
"RED";"12,660.91";"Company 7";"EARLY";"SHORT LISTED";"13/09/2012 09:48:24";"25/01/2013 09:48:24";"PRODUCT 8";"Indonesia";"Nita Marling";"8.305"
"RED";"13,259.946";"Company 1";"EARLY";"DEMO";"19/09/2012 03:31:24";"27/01/2013 03:31:24";"PRODUCT 4";"Japan";"Roxie Foraker";"0.598"
"GREY";"10,964.317";"Company 8";"ADVANCED";"CONTACTED";"18/09/2012 08:41:24";"14/01/2013 08:41:24";"PRODUCT 2";"United Kingdom";"Kathrine Janas";"31.729"
"RED";"10,310.099";"Company 1";"EARLY";"SHORT LISTED";"26/10/2012 00:24:24";"09/03/2013 00:24:24";"PRODUCT 6";"Netherlands";"Jerri Preble";"8.82"
"YELLOW";"8,325.998";"Company 2";"EARLY";"WIN";"24/10/2012 13:38:24";"27/02/2013 13:38:24";"PRODUCT 10";"United Kingdom";"Julio Burdge";"63.82"
"GREEN";"9,442.946";"Company 1";"STANDBY";"LOST";"14/10/2012 14:03:24";"14/01/2013 14:03:24";"PRODUCT 1";"Poland";"Darryl Innes";"78.377"
"YELLOW";"13,075.737";"Company 5";"EARLY";"CONTACTED";"05/10/2012 20:45:24";"30/01/2013 20:45:24";"PRODUCT 8";"Mexico";"Kathrine Janas";"58.615"
"RED";"10,982.204";"Company 9";"EARLY";"STANDBY";"06/10/2012 08:57:24";"01/02/2013 08:57:24";"PRODUCT 5";"Turkey";"Kathrine Janas";"7.085"
"YELLOW";"12,255.387";"Company 1";"EARLY";"STANDBY";"13/10/2012 18:43:24";"30/01/2013 18:43:24";"PRODUCT 6";"Canada";"Neva Hunger";"64.158"
"RED";"10,554.162";"Company 5";"EARLY";"LOST";"02/10/2012 02:02:24";"03/01/2013 02:02:24";"PRODUCT 7";"Poland";"Nita Marling";"16.124"
"GREEN";"12,927.805";"Company 4";"EARLY";"WIN";"07/10/2012 09:11:24";"06/02/2013 09:11:24";"PRODUCT 8";"Mexico";"Kathrine Janas";"92.256"
"GREEN";"13,339.966";"Company 7";"EARLY";"QUALIFIED";"14/10/2012 08:57:24";"18/01/2013 08:57:24";"PRODUCT 7";"China";"Julio Burdge";"98.118"
"YELLOW";"12,747.495";"Company 8";"EARLY";"QUALIFIED";"27/10/2012 00:55:24";"02/03/2013 00:55:24";"PRODUCT 10";"Sweden";"Darryl Innes";"57.369"
"YELLOW";"14,339.631";"Company 9";"EARLY";"STANDBY";"23/10/2012 07:31:24";"16/02/2013 07:31:24";"PRODUCT 2";"Australia";"Roxie Foraker";"59.343"
"GREY";"8,292.978";"Company 4";"EARLY";"WIN";"14/10/2012 00:28:24";"16/01/2013 00:28:24";"PRODUCT 2";"United Kingdom";"Kathrine Janas";"34.651"
"RED";"11,147.768";"Company 7";"STANDBY";"STANDBY";"25/10/2012 18:47:24";"08/03/2013 18:47:24";"PRODUCT 2";"Japan";"Neva Hunger";"6.091"
"GREEN";"9,660.873";"Company 3";"ADVANCED";"SHORT LISTED";"27/10/2012 07:17:24";"02/03/2013 07:17:24";"PRODUCT 7";"China";"Nita Marling";"87.121"
"GREY";"10,741.022";"Company 9";"ADVANCED";"DEMO";"15/10/2012 21:03:24";"29/01/2013 21:03:24";"PRODUCT 4";"South Korea";"Kathrine Janas";"25.159"
"RED";"8,821.708";"Company 5";"ADVANCED";"WIN";"07/10/2012 07:43:24";"30/01/2013 07:43:24";"PRODUCT 10";"United Kingdom";"Nita Marling";"11.982"
"RED";"12,777.245";"Company 7";"ADVANCED";"WIN";"21/10/2012 05:36:24";"25/01/2013 05:36:24";"PRODUCT 5";"Germany";"Jamie Gilbeau";"8.487"
"YELLOW";"10,237.441";"Company 7";"ADVANCED";"WIN";"21/10/2012 15:58:24";"26/02/2013 15:58:24";"PRODUCT 5";"Mexico";"Darryl Innes";"56.078"
"YELLOW";"14,906.372";"Company 4";"ADVANCED";"LOST";"08/10/2012 05:29:24";"19/02/2013 05:29:24";"PRODUCT 11";"Italy";"Roxie Foraker";"71.942"
"YELLOW";"8,240.699";"Company 1";"STANDBY";"LOST";"01/10/2012 08:33:24";"14/01/2013 08:33:24";"PRODUCT 7";"United Kingdom";"Nita Marling";"50.491"
"RED";"8,593.025";"Company 3";"STANDBY";"DEMO";"03/10/2012 01:32:24";"08/02/2013 01:32:24";"PRODUCT 4";"Sweden";"Neva Hunger";"18.226"
"RED";"12,675.74";"Company 4";"ADVANCED";"QUALIFIED";"12/10/2012 00:49:24";"13/02/2013 00:49:24";"PRODUCT 3";"China";"Kathrine Janas";"14.282"
"GREEN";"10,950.833";"Company 3";"ADVANCED";"VERBAL COMMITMENT";"26/10/2012 13:50:24";"03/03/2013 13:50:24";"PRODUCT 8";"India";"Neva Hunger";"93.942"
"GREEN";"14,301.135";"Company 1";"ADVANCED";"SHORT LISTED";"05/10/2012 18:34:24";"05/01/2013 18:34:24";"PRODUCT 8";"Brazil";"Neva Hunger";"77.363"
"GREEN";"10,088.469";"Company 9";"STANDBY";"DEMO";"10/10/2012 22:34:24";"05/02/2013 22:34:24";"PRODUCT 6";"South Korea";"Darryl Innes";"90.791"
"YELLOW";"12,454.164";"Company 2";"STANDBY";"VERBAL COMMITMENT";"24/10/2012 02:19:24";"27/02/2013 02:19:24";"PRODUCT 4";"Brazil";"Kathrine Janas";"72.527"
"GREY";"9,467.412";"Company 7";"ADVANCED";"LOST";"22/10/2012 07:06:24";"31/01/2013 07:06:24";"PRODUCT 8";"Russia";"Jerri Preble";"40.913"
"GREY";"10,476.933";"Company 8";"STANDBY";"QUALIFIED";"18/10/2012 21:57:24";"01/03/2013 21:57:24";"PRODUCT 10";"South Korea";"Nita Marling";"46.599"
"YELLOW";"13,771.417";"Company 2";"ADVANCED";"QUALIFIED";"03/10/2012 12:03:24";"31/01/2013 12:03:24";"PRODUCT 11";"United States";"Julio Burdge";"56.364"
"GREY";"10,404.21";"Company 6";"EARLY";"VERBAL COMMITMENT";"07/10/2012 22:40:24";"10/01/2013 22:40:24";"PRODUCT 6";"Russia";"Neva Hunger";"40.744"
"YELLOW";"8,787.715";"Company 4";"ADVANCED";"VERBAL COMMITMENT";"08/11/2012 10:00:24";"15/03/2013 10:00:24";"PRODUCT 4";"Germany";"Neva Hunger";"62.744"
"GREEN";"10,412.979";"Company 3";"STANDBY";"STANDBY";"25/11/2012 09:07:24";"18/03/2013 09:07:24";"PRODUCT 2";"Italy";"Darryl Innes";"89.901"
"GREEN";"8,799.925";"Company 9";"ADVANCED";"CONTACTED";"25/11/2012 04:15:24";"05/03/2013 04:15:24";"PRODUCT 7";"Indonesia";"Neva Hunger";"76.951"
"GREEN";"8,533.715";"Company 3";"STANDBY";"QUALIFIED";"07/11/2012 10:39:24";"15/02/2013 10:39:24";"PRODUCT 8";"Netherlands";"Jerri Preble";"91.374"
"GREEN";"13,992.688";"Company 9";"EARLY";"VERBAL COMMITMENT";"27/11/2012 06:45:24";"05/03/2013 06:45:24";"PRODUCT 8";"Sweden";"Nita Marling";"79.088"
"GREEN";"9,123.372";"Company 2";"STANDBY";"LOST";"18/11/2012 14:19:24";"26/03/2013 14:19:24";"PRODUCT 8";"Turkey";"Neva Hunger";"92.546"
"GREY";"14,368.013";"Company 7";"ADVANCED";"CONTACTED";"14/11/2012 04:49:24";"06/03/2013 04:49:24";"PRODUCT 3";"Germany";"Jerri Preble";"28.507"
